ID_restaurante,fecha,venta
1,2024-10-16,158.68
1,2024-10-16,147.78
1,2024-10-16,195.15
1,2024-10-16,227.35
1,2024-10-16,226.53
1,2024-10-16,119.91
1,2024-10-16,72.54
1,2024-10-16,238.64
1,2024-10-16,99.81
1,2024-10-16,143.83
1,2024-10-16,186.88
1,2024-10-16,210.48
1,2024-10-16,211.3
1,2024-10-16,193.73
1,2024-10-16,61.11
1,2024-10-16,231.49
1,2024-10-16,122.41
1,2024-10-16,168.44
1,2024-10-16,231.88
1,2024-10-16,172.55
1,2024-10-16,204.37
1,2024-10-16,210.2
1,2024-10-16,120.91
1,2024-10-16,186.86
1,2024-10-16,172.81
1,2024-10-16,102.57
1,2024-10-16,56.47
1,2024-10-16,48.36
1,2024-10-16,72.2
1,2024-10-16,222.56
1,2024-10-16,44.29
1,2024-10-16,142.71
1,2024-10-16,50.51
1,2024-10-16,80.13
1,2024-10-16,196.77
1,2024-10-16,222.97
1,2024-10-16,135.99
1,2024-10-16,125.04
1,2024-10-16,146.34
1,2024-10-16,146.17
1,2024-10-16,73.45
1,2024-10-16,206.17
1,2024-10-16,80.6
1,2024-10-16,75.03
1,2024-10-16,207.25
1,2024-10-16,120.94
1,2024-10-16,130.77
1,2024-10-16,195.83
1,2024-10-16,133.51
1,2024-10-16,118.04
1,2024-10-16,35.81
1,2024-10-16,50.87
1,2024-10-16,57.84
1,2024-10-16,51.84
1,2024-10-16,124.55
1,2024-10-16,110.97
1,2024-10-16,162.1
1,2024-10-16,207.24
1,2024-10-16,110.74
1,2024-10-16,127.21
1,2024-10-16,230.38
1,2024-10-16,235.16
1,2024-10-16,143.88
1,2024-10-16,137.25
1,2024-10-16,131.79
1,2024-10-16,36.5
1,2024-10-16,219.12
1,2024-10-16,124.75
1,2024-10-16,192.04
1,2024-10-16,232.16
1,2024-10-16,114.36
1,2024-10-16,249.42
1,2024-10-16,190.45
1,2024-10-16,226.58
1,2024-10-16,197.74
1,2024-10-16,120.9
1,2024-10-16,50.67
1,2024-10-16,243.75
1,2024-10-16,102.43
1,2024-10-16,41.76
1,2024-10-16,50.61
1,2024-10-16,59.78
1,2024-10-16,92.32
