ID_venta,ID_evento
6736,3
6561,4
6822,4
6485,3
6829,3
6948,3
6811,4
6842,2
6514,2
6654,4
6576,2
6505,2
6661,3
6493,4
6801,4
7019,2
6748,4
6451,2
6761,3
7005,4
7017,2
6973,3
6560,2
6516,2
6486,2
6689,2
6590,4
6917,2
6899,2
6925,4
6717,3
6555,3
6546,4
6540,3
6552,4
6859,4
6631,3
6484,3
6836,4
6498,4
6613,3
6630,3
6779,4
6899,4
6932,2
6488,3
6660,4
6974,2
6882,2
6954,3
6963,2
6665,4
6915,3
6803,3
6518,2
6443,2
6480,4
6455,4
6882,2
6506,3
6482,3
6617,3
7027,2
6944,2
6738,2
6469,3
6666,4
6958,2
6741,2
6991,3
6507,3
7013,3
7027,3
6617,3
6732,4
7021,2
6674,4
6585,3
6994,4
6899,2
