ID_venta,ID_evento
8393,3
8341,3
8267,3
8682,4
8582,3
8605,3
8260,4
8628,4
8320,4
8565,3
8296,4
8402,3
8428,3
8807,4
8351,3
8837,4
8528,4
8617,4
8466,4
8336,4
8434,3
8271,3
8649,4
8391,3
8569,4
8866,3
8576,4
8802,3
8636,3
8847,4
8515,4
8657,3
8300,3
8564,4
8673,3
8572,3
8481,3
8447,3
8699,3
8837,3
8268,3
8256,3
8640,4
8784,3
8582,4
8341,3
8499,4
8404,4
8882,4
8315,3
8695,3
8836,3
8366,4
8286,3
8355,3
8681,3
8271,4
8795,4
8351,4
8804,4
8410,4
8603,4
8388,4
8882,4
8480,3
8717,3
8630,3
8331,4
8480,4
8814,3
8791,3
8410,4
8587,4
8373,4
8263,4
8517,4
8362,4
8384,4
8631,4
8493,3
8364,3
8300,4
8494,4
8589,4
8639,3
8865,3
8573,4
