ID_venta,ID_evento
2251,4
2226,1
2152,4
1974,1
1975,4
2275,3
1928,3
2101,3
1980,3
1984,3
2250,4
1790,4
2004,4
2223,4
2211,3
2024,4
1895,3
2165,3
2304,3
2064,3
2034,3
1948,3
2120,3
1769,4
2034,4
1827,1
2254,4
2199,4
2005,3
1914,3
1867,1
1943,1
1781,3
1939,4
1773,4
1917,1
1794,1
2052,4
1779,4
2294,4
1996,1
1953,3
1797,1
2280,3
2218,1
2174,3
1857,1
2165,3
2309,4
2166,4
1956,4
2276,1
2272,4
2183,1
1980,4
2265,3
2307,1
1959,3
2239,1
2032,3
2085,3
1881,1
2202,4
1904,1
2031,3
2176,3
1924,4
2251,1
1898,3
2142,4
2209,4
1934,1
1923,3
2168,3
1986,3
