ID_venta,ID_promocion
2828,1
2554,1
2463,2
2347,2
2493,1
2880,2
2824,2
2405,2
2651,1
2364,1
2454,1
2774,2
2612,2
2462,2
2741,2
2542,1
2639,2
2608,1
2604,2
2346,2
2458,2
2582,1
2819,2
2779,2
2372,1
2539,1
2869,2
2532,2
2708,1
2465,2
2423,1
2889,2
2881,2
2737,1
2454,1
2763,2
2662,2
2626,1
2898,2
2319,2
2726,1
2485,1
2359,2
2852,1
2367,2
2404,2
2798,1
2601,2
2617,1
2645,1
2773,1
2693,2
2514,2
2485,2
2327,2
2733,2
2844,2
2548,2
2394,1
2825,1
2366,2
2885,2
2397,1
2465,1
2764,1
2312,2
2522,2
2595,1
2335,2
2809,1
2589,2
2787,2
2660,1
2547,1
2714,1
2492,1
2379,1
2864,1
2519,2
2852,1
2333,1
2552,1
2715,1
2340,1
2710,2
2581,1
2454,1
2762,1
2417,2
2487,2
2559,2
2696,1
2493,2
2401,2
2728,2
2748,1
2542,1
2427,2
2554,1
2597,1
2747,1
2573,1
2806,1
2367,2
2690,2
2636,2
2597,2
2716,2
2816,1
2819,1
2555,2
2554,2
2591,2
2686,1
2365,1
2878,2
2479,1
2768,2
2439,1
2577,2
2556,1
2436,2
2611,1
2759,1
2613,2
2850,2
2625,2
2500,2
2537,1
2664,2
2509,1
2530,1
2456,2
2568,2
2415,2
2383,1
2428,1
2778,1
2364,2
2731,1
2660,1
2317,1
2422,1
2310,1
2548,2
2622,2
2471,2
2313,2
2623,1
2858,2
2364,1
2524,2
2661,2
2602,1
2877,2
2338,1
2652,1
2708,2
2757,2
2339,2
2355,1
2751,1
2321,2
2793,2
2524,1
2487,2
2376,2
2831,1
2772,2
2313,1
2508,1
2683,2
2369,2
2684,2
2884,2
2491,1
2801,2
2465,2
2343,2
2713,1
2346,2
2636,2
2368,1
2787,1
2541,2
2724,1
2350,2
2669,1
2551,2
2732,2
2512,2
2525,2
2336,1
2479,2
2738,2
2497,2
2396,2
2837,2
2539,2
2557,1
