ID_venta,ID_promocion
4863,2
4643,1
4618,1
4907,2
4577,2
4548,2
4950,1
4551,2
4633,2
4507,2
4645,1
4875,1
4640,2
4655,2
4747,2
4633,1
4650,2
4929,1
4841,2
4592,1
4527,1
4551,1
4861,1
4857,2
4963,2
4857,1
4929,2
4825,1
4693,1
4751,1
4684,2
4953,2
4917,2
4787,2
4851,1
4500,2
4897,1
4720,1
4540,2
4561,1
4679,2
4672,1
4884,1
4644,1
4890,2
4754,2
4719,1
4965,2
4623,1
4803,1
4783,2
4681,2
4673,2
4913,1
4835,1
4833,1
4906,2
4836,1
4492,1
4802,1
4501,1
4960,1
4652,2
4562,1
4963,2
4584,1
4940,2
4655,1
4599,2
4756,2
4532,2
4826,2
4657,2
4851,1
4774,2
4552,1
4568,2
4900,2
4889,1
4614,2
4845,2
4917,2
4550,1
4640,1
4793,2
4702,2
4551,2
4871,2
4742,2
4802,1
4942,2
4523,2
4917,2
4588,2
4634,1
4722,2
4570,1
4797,1
4616,2
4636,1
4493,2
4825,1
4828,1
4950,1
4752,2
4933,1
4879,2
4966,2
4955,1
4645,2
4798,2
4897,1
4720,2
4768,2
4848,2
4915,1
4538,1
4849,1
4631,1
4613,2
