ID_venta,ID_promocion
1179,2
1129,2
717,1
1121,1
970,2
975,1
909,2
1032,1
958,1
908,1
792,1
712,2
1231,2
919,1
1032,2
1023,2
1175,1
1019,2
908,1
1087,1
793,1
1122,1
943,2
732,2
1120,1
774,2
1132,2
1211,1
765,1
1113,1
1201,1
771,1
1007,1
1142,2
1155,1
1198,1
1138,1
1075,2
852,2
952,1
736,1
965,1
843,2
1187,2
927,1
1146,1
721,1
1038,1
749,1
706,1
855,1
980,2
822,1
1042,1
1028,2
1063,1
925,2
1170,1
913,2
1102,1
951,1
862,1
996,1
1022,1
1236,1
1041,2
1021,2
889,2
1079,2
929,2
775,2
734,2
954,2
719,2
867,2
1175,1
1041,1
1196,2
839,2
1245,1
1100,2
828,2
1024,1
1099,2
1217,2
874,1
877,2
876,2
918,2
943,2
846,1
855,1
1190,2
1209,2
1197,2
907,2
1025,2
1074,2
1087,2
1090,2
947,1
809,2
1249,1
878,2
914,1
953,2
826,1
966,1
1112,2
1053,1
740,2
1055,1
865,1
737,2
948,2
1241,2
986,1
855,2
926,2
1028,1
895,1
1044,1
906,2
824,1
1078,2
863,2
1040,2
1065,2
1172,1
1150,1
811,2
991,2
934,2
988,1
860,2
1219,1
1041,2
715,2
1249,1
923,2
986,2
796,1
734,2
1245,2
731,1
732,2
1175,2
1041,2
1104,1
1011,2
1049,2
1081,2
1075,1
989,1
734,2
720,2
1118,2
914,2
1021,2
896,1
851,1
1022,1
1002,1
1197,1
890,2
837,1
1208,2
821,1
720,1
1082,2
939,1
1228,1
1231,2
1144,2
835,2
985,1
1151,2
868,2
824,2
733,2
1171,2
1120,1
1107,1
1119,2
955,1
1208,1
755,1
859,1
1111,1
1231,2
721,2
712,1
933,2
828,2
988,2
1200,1
771,2
1144,2
1233,2
732,1
