ID_venta,ID_promocion
6994,3
6843,3
6849,2
6803,1
6926,2
6889,1
6446,2
6814,1
7024,2
6935,2
6964,3
7010,1
6896,3
6488,2
6657,2
6703,1
6611,1
6664,2
6793,2
6978,1
6556,3
6709,3
6736,3
6766,3
6856,1
6683,3
6672,3
6933,3
6812,1
6445,3
6840,3
6469,3
6521,3
7032,3
6637,1
6577,2
6520,2
6632,2
6450,1
6589,2
6762,2
6541,1
6682,3
6728,1
6462,2
6628,2
6941,3
6635,1
7018,1
6640,2
6684,3
6826,2
6754,3
6502,1
6604,1
6841,2
6715,3
6860,3
6697,1
6681,3
6757,1
6859,3
6528,1
6963,3
6875,2
6791,1
6476,2
6549,3
6752,3
7018,3
6688,2
6918,3
6858,2
6725,2
7031,3
6973,2
6644,1
6594,1
6441,2
6717,1
6889,2
6915,1
6782,3
6761,3
6938,3
6874,2
6839,3
6973,2
6950,3
6712,2
6492,3
6817,3
6967,3
6997,3
6820,1
6534,3
7035,1
6968,2
6739,3
6992,3
6454,3
6491,2
6626,2
6859,2
6625,3
6724,2
6880,3
6618,3
6858,3
6663,3
6771,3
6500,2
6866,2
7003,2
6711,1
6936,1
6925,2
6657,3
6644,3
6512,3
6471,3
6706,3
6461,1
6886,2
6853,1
6720,2
6598,2
6565,1
6773,3
6756,2
6771,3
6553,3
6907,3
6824,2
6977,3
6742,1
6720,3
6465,3
6838,1
6605,2
6849,2
6744,2
6620,2
6606,3
6779,3
6882,1
6755,2
6863,3
6937,2
6571,2
6882,2
6656,1
7036,1
6608,2
6877,1
6588,2
6588,3
6477,1
6520,1
6685,1
6879,2
6577,1
6659,2
6631,3
6885,3
6472,2
6841,2
6703,2
6963,3
6755,3
6729,3
6804,3
6941,3
6838,1
6770,1
6776,1
6870,3
6669,1
6617,1
6483,1
7005,2
6876,2
6491,3
6456,3
6820,1
6802,3
6863,3
6767,3
6981,2
6740,3
6531,1
7021,2
6861,3
6685,3
6520,1
