ID_venta,ID_promocion
5795,3
5721,3
5699,1
5728,3
5496,2
5900,3
5763,1
5441,3
5618,1
5475,2
5793,1
5714,2
5441,2
5451,2
5687,1
5849,2
5549,2
5840,2
5831,2
5601,3
5756,1
5575,2
5604,1
5776,2
5503,1
5604,2
5762,3
5891,2
5578,2
5887,1
5693,1
5564,2
5835,3
5526,1
5772,2
5603,1
5913,2
5830,2
5919,2
5716,2
5438,2
5508,2
5807,1
5448,3
5827,1
5532,3
5706,1
5579,3
5690,1
5760,2
5816,1
5691,3
5518,1
5850,1
5438,1
5516,3
5859,3
5715,2
5495,1
5554,2
5636,3
5842,1
5830,2
5810,1
5602,3
5529,2
5654,2
5572,2
5642,1
5490,3
5702,3
5813,1
5686,2
5892,2
5636,2
5426,2
5884,1
5476,3
5566,2
5734,3
5479,2
5648,1
5625,2
5709,1
5491,1
5739,1
5431,2
5475,2
5719,2
5730,1
5866,2
5850,3
5822,1
5673,1
5918,3
5661,1
5801,1
5893,1
5606,3
5463,3
5530,3
5719,2
5881,2
5568,1
5854,2
5750,3
5745,1
5667,2
5659,2
5764,2
5648,1
5580,1
5594,1
5701,2
5433,1
5886,3
5631,3
5497,1
5907,3
5820,2
5681,2
5492,1
5880,1
5548,1
5834,3
5787,3
5521,1
5650,1
5521,3
5642,3
5817,1
5621,1
5752,2
5795,2
5850,2
5812,1
5924,1
5756,2
5527,3
5714,2
5848,1
5671,1
5629,1
5574,3
5761,1
5656,2
5472,1
5828,2
5640,3
5576,3
