ID_venta,ID_promocion
4189,2
4438,2
4094,1
4264,2
4438,1
4202,1
4243,1
4386,1
4444,2
4188,1
4296,1
4282,1
4394,2
4096,2
4204,2
4386,1
4410,1
4443,2
4478,1
4282,2
4206,2
4459,1
4095,1
4212,2
4155,1
4320,1
4409,2
4424,1
4433,2
4439,1
4227,2
4387,2
4202,1
4485,2
4179,1
4133,1
4224,2
4471,1
4465,2
4161,1
4462,1
4263,2
4244,1
4275,2
4392,1
4249,1
4377,1
4088,2
4378,1
4136,2
4261,1
4310,1
4161,1
4262,2
4403,1
4386,1
4478,2
4079,1
4376,1
4136,2
4279,2
4246,1
4398,2
4241,1
4200,2
4474,1
4487,1
4329,1
4378,1
4478,1
4238,2
4387,2
4265,2
4367,2
4241,2
4266,2
4380,1
4166,1
4101,1
4266,1
4453,1
4226,2
4309,1
4482,2
4113,2
4278,2
4299,2
4083,2
4257,2
4333,2
4305,2
4483,2
4108,2
4203,1
4267,1
4146,1
4472,2
4233,2
4270,2
4130,1
