ID_venta,ID_promocion
1869,1
2028,1
2030,1
1818,2
2194,2
2104,1
1914,2
1940,2
2133,2
2117,1
1856,2
2124,1
1863,1
2231,2
1933,2
2096,2
1981,1
1955,2
2091,1
1885,2
2155,2
2067,2
1835,1
2081,1
2152,2
2096,1
1803,2
1970,1
1959,1
1820,1
1937,2
1837,2
2193,2
1808,1
2001,2
1885,1
2008,2
2013,2
2144,2
2254,2
1997,1
2246,1
1851,2
1883,1
2309,2
1795,2
1776,1
1929,1
2092,1
2190,1
2097,1
2092,1
1980,2
2004,1
1935,1
2243,2
2276,2
2301,2
2174,1
1898,2
2044,1
1970,2
2012,1
2193,1
1814,1
2050,1
2157,2
1774,1
2297,2
2023,1
1985,1
2251,2
1876,1
1770,2
2140,2
1868,2
2236,1
1920,1
1804,2
1868,2
1893,1
2261,2
2168,1
2214,1
2296,1
1794,2
1947,1
1803,1
2128,2
2127,2
2113,1
2018,2
2260,1
1810,1
1869,1
2283,1
1966,2
2264,1
1934,1
2118,1
1844,1
1951,2
2047,1
1887,2
1872,2
1822,2
2176,2
1843,2
2101,2
2278,1
1949,1
2116,2
2068,2
1933,2
2052,2
2125,2
1752,1
2033,2
1952,1
2134,1
1986,1
1994,1
1930,1
2102,1
1918,1
2046,1
1812,1
2122,2
1840,2
1874,2
1838,2
2193,1
2294,2
1901,2
1995,1
2090,1
2125,2
1962,1
1758,1
2030,2
1876,1
2179,1
2297,2
1857,2
1942,1
2127,1
2063,1
2000,2
2023,1
1943,1
1957,1
2267,2
2105,2
2148,1
2087,1
1766,2
2162,1
2101,2
1995,2
1890,2
2240,2
2279,2
2158,2
2018,2
1755,1
2145,1
2050,1
1993,2
1757,2
1975,1
1871,2
2241,1
2167,1
1818,1
2101,2
2220,1
1801,1
2067,1
1834,2
2147,1
2138,2
1882,2
2234,1
1964,2
2096,1
1922,1
2304,1
1994,1
1976,1
2106,2
1872,2
1846,2
2262,1
2196,2
2227,2
2225,2
1791,2
1960,1
1862,1
2005,2
1826,1
1899,2
1778,2
2126,1
2236,1
2140,1
2040,2
2155,1
2045,2
2228,2
