ID_venta,ID_restaurante,fecha,venta
1,1,"2024-10-15",114.57
2,1,"2024-10-15",92.43
3,1,"2024-10-15",203.15
4,1,"2024-10-15",244.84
5,1,"2024-10-15",81.68
6,1,"2024-10-15",214.63
7,1,"2024-10-15",56.44
8,1,"2024-10-15",171.69
9,1,"2024-10-15",147.15
10,1,"2024-10-15",43.26
11,1,"2024-10-15",129.82
12,1,"2024-10-15",116.28
13,1,"2024-10-15",199.45
14,1,"2024-10-15",146.97
15,1,"2024-10-15",244.56
16,1,"2024-10-15",161.85
17,1,"2024-10-15",101.49
18,1,"2024-10-15",62.08
19,1,"2024-10-15",140.11
20,1,"2024-10-15",122.59
21,1,"2024-10-15",156.44
22,1,"2024-10-15",87.08
23,1,"2024-10-15",113.34
24,1,"2024-10-15",190.51
25,1,"2024-10-15",205.86
26,1,"2024-10-15",67.86
27,1,"2024-10-15",139.07
28,1,"2024-10-15",151.51
29,1,"2024-10-15",106.45
30,1,"2024-10-15",219.2
31,1,"2024-10-15",158.57
32,1,"2024-10-15",232.03
33,1,"2024-10-15",228.51
34,1,"2024-10-15",55.88
35,1,"2024-10-15",221.79
36,1,"2024-10-15",197.62
37,1,"2024-10-15",142.1
38,1,"2024-10-15",151.24
39,1,"2024-10-15",132.81
40,1,"2024-10-15",228.59
41,1,"2024-10-15",118.3
42,1,"2024-10-15",168.69
43,1,"2024-10-15",169.69
44,1,"2024-10-15",47.42
45,1,"2024-10-15",57.15
46,1,"2024-10-15",196.39
47,1,"2024-10-15",69.53
48,1,"2024-10-15",242.7
49,1,"2024-10-15",215.11
50,1,"2024-10-15",90.26
51,1,"2024-10-15",90.24
52,1,"2024-10-15",111.96
53,1,"2024-10-15",196.32
54,1,"2024-10-15",70.6
55,1,"2024-10-15",169.44
56,1,"2024-10-15",245.52
57,1,"2024-10-15",108.21
58,1,"2024-10-15",225.74
59,1,"2024-10-15",140.47
60,1,"2024-10-15",135.21
61,1,"2024-10-15",199.89
62,1,"2024-10-15",150.39
63,1,"2024-10-15",81.79
64,1,"2024-10-15",66.82
65,1,"2024-10-15",140.79
66,1,"2024-10-15",245.02
67,1,"2024-10-15",112.17
68,1,"2024-10-15",162.23
69,1,"2024-10-15",117.14
70,1,"2024-10-15",122.6
71,1,"2024-10-15",137.87
72,1,"2024-10-15",96.35
73,1,"2024-10-15",185.06
74,1,"2024-10-15",224.99
75,1,"2024-10-15",152.35
76,1,"2024-10-15",150.97
77,1,"2024-10-15",163.85
78,1,"2024-10-15",179.54
79,1,"2024-10-15",101.79
80,1,"2024-10-15",147.96
81,1,"2024-10-15",245.44
82,1,"2024-10-15",42.89
83,1,"2024-10-15",228.14
84,1,"2024-10-15",52.41
85,1,"2024-10-15",163.87
86,1,"2024-10-15",46.97
87,1,"2024-10-15",140.88
88,1,"2024-10-15",152.76
89,1,"2024-10-15",180.48
90,1,"2024-10-15",102.24
91,1,"2024-10-15",222.84
92,1,"2024-10-15",61.91
93,1,"2024-10-15",214.79
94,1,"2024-10-15",169.28
95,1,"2024-10-15",202.88
96,1,"2024-10-15",128.33
97,1,"2024-10-15",171.22
98,1,"2024-10-15",180.55
99,1,"2024-10-15",37.66
100,1,"2024-10-15",154.91
101,1,"2024-10-15",174.01
102,1,"2024-10-15",75.43
103,1,"2024-10-15",99.98
104,1,"2024-10-15",48.98
105,1,"2024-10-15",63.8
106,1,"2024-10-15",145.78
107,1,"2024-10-15",42.82
108,1,"2024-10-15",246.83
109,1,"2024-10-15",225.24
110,1,"2024-10-15",129.08
111,1,"2024-10-15",61.66
112,1,"2024-10-15",136.01
113,1,"2024-10-15",141.1
114,1,"2024-10-15",109.72
115,1,"2024-10-15",103.78
116,1,"2024-10-15",229.65
117,1,"2024-10-15",212.78
118,1,"2024-10-15",205.2
119,1,"2024-10-15",81.92
120,1,"2024-10-15",226.61
121,1,"2024-10-15",228.21
122,1,"2024-10-15",45.75
123,1,"2024-10-15",104.33
124,1,"2024-10-15",126.44
125,1,"2024-10-15",59.3
126,1,"2024-10-15",118.52
127,1,"2024-10-15",143.6
128,1,"2024-10-15",100.79
129,1,"2024-10-15",150.96
